Carta de Foral de Oliveira do Bairro;Portugal;Oliveira do Bairro;Rua Bombeiros;3770-209;40.5128114;-8.4956724;1471
Bordalo II - Cegonha;Portugal;Oliveira do Bairro;Avenida Doutor Abílio Pereira Pinto;3770-209;40.5130882;-8.4914453;1625
Hotel Paraíso;Portugal;Oliveira do Bairro;Rua Foral 6 de Abril de 1514;3770-857;40.5149663;-8.4926455;1777
Baloiço dos Pinheiros Mansos;Portugal;Oliveira do Bairro;Rua do Campo de Jogos;3770-209;40.509;-8.482139;1812
Cruzeiro;Portugal;Anadia;Rua das Escolas;3781-908;40.4918509;-8.4732614;2436
Lagoa do Paúl;Portugal;Anadia;EM 603-2;3780-051;40.4753208;-8.5019442;2749
Estalagem de Sangalhos;Portugal;Anadia;Rua Narciso da Marça;3781-908;40.4774771;-8.459724038701431;4228
Pensão Parreira;Portugal;Águeda;Rua Sangalhesa;3750-035;40.5086941;-8.4474195;4549
Wayside shrine;Portugal;Anadia;Largo do Cruzeiro;3780-140;40.4751438;-8.4537288;4791
Cristo Rei;Portugal;Oliveira do Bairro;Rua do Lugar;3770-057;40.5432035;-8.5100526;4879
Busto do Professor José de Oliveira;Portugal;Oliveira do Bairro;Rua do Polo Escolar;3770-410;40.4998323;-8.562563961641686;5290
Templete de Perraes;Portugal;Oliveira do Bairro;Rua Principal de Perrães;3770-057;40.5475194;-8.506955;5317
Motel Primavera;Portugal;Águeda;Rua do Vale do Grou;3750-043;40.5283708;-8.4474391;5449
Quinta do Louredo;Portugal;Águeda;Rua Direita;3750-405;40.5519992;-8.4895878;5849
Pateira de Fermentelos;Portugal;Aveiro;;;40.571281;-8.507385835064778;7951
